Rank,Channel_Title
1,dota2ti
2,DotaMajor
3,AftonbladetEsport
4,ti5sange
5,epicenter_en1
6,DreamLeague
7,D2L
8,DreadzTV
9,gamestarstv
10,dota2ti_3
11,dota2ti_2
12,Dendi
13,DotaMajor2
14,Arteezy
15,WePlayDota2
16,XBOCT
17,SoloLineAbuse
18,Starladder1
19,dotastarladder_en
20,AdmiralBulldog
21,dota2ti_4
22,dota2ti_es
23,DotaMajor4
24,Esportal
25,Sing_sing
26,DotaMajor3
27,ti5yasha
28,Puppey
29,EvilArthas
30,DotaCinema
31,CarTmaNzbs
32,w33haa
33,esl_joindotared
34,dotastarladder_en2
35,s4
36,A1taOda
37,KDL_EN
38,beyondthesummit5
39,GlobalGrandMasters
40,ti5mango
41,EternaLEnVyy
42,ASDWQEASD123
43,BigDaddy
44,IllidanSTRdoto
45,sharisha_live
46,dota2ti_pt
47,SumaiLDoto
48,Stray228
49,WagamamaTV
50,ti5skadi
51,BeyondTheSummit3
52,alexardas951
53,ybicanoooobov
54,OpanaOpa
55,LighTOfHeaveN
56,jullyplay
57,sharishaxd_live
58,shkura_live
59,ALOHADANCETV
60,BlackDotATV
61,vebster_dota
62,karisha_live
63,VeRsuta
64,karina_live
65,epicenter_en2
66,joinDOTARed
67,vladplotya
68,MerliniDota
69,joinDOTABlue
70,ODPixel
71,rxnexus
72,typical_cs
73,Funn1k
74,syndereN
75,Aui_2000
76,NS_VP
77,Azazin_Kreet
78,CritterLIVE
79,shkolota_show
80,bez_donata
81,bezdonata
82,Attackerdota
83,navitv
84,MineskiTV
85,cetrixxx
86,zebatya
87,moonduckTV
88,tastydota
89,weplaydota2tv
90,dota2ti_newcomer
91,resolut1ontv
92,motar2keu
93,Miracle_doto
94,drunya_dota
95,BlitzDotA
96,UniverseDota
97,C_a_k_e
98,FearDarkness
99,followKudes
100,Pathofnoob
101,ppd
102,stormstudio_dota2_eng
103,PajkattDota
104,GspotDOTA
105,GameH0use
106,overpro_8k
107,MATUMBAMAN
108,Starladder4
109,typalike
110,csgowanted
111,ArtStyle
112,XaKoH
113,alexpiars
114,RazerVP
115,beyondthesummit4
116,Gameoops
117,gaben_007
118,GosuTV1
119,zai
120,dpl_en
121,DoubleDamageTV
122,LexDota
123,sharishalixd
124,ABFnggshka
125,xaroncyberschool
126,sharishaxdo
127,gmoops
128,purgegamers
129,sharishaxdz
130,w0nderfuler
131,awdise
132,mrsmappi
133,rgtshow
134,dota2ti_pod_1
135,gamestarstv1
136,varslax7
137,canceldota
138,Urodskij
139,D2L_ES
140,Dota2EsportsTV
141,Rigeiya
142,malaysiacybergames
143,Komposter_1337
144,CaptainKiska
145,NaVi_Coach
146,4market
147,Na_podhvate
148,NoMadTV
149,pattern_tv
150,dota2ti_pod_2
151,GameDistrictchannel
152,pewpewvn01
153,muytoguy
154,qSnake_
155,Draskyl
156,dmitry_king
157,NotTodayOrg
158,nooneboss
159,sharishaxdx
160,ded_bes
161,BananaSlamJamma
162,papabooster
163,joinDOTAgreen
164,slashandcash
165,SHRo_oMY
166,sharishaxdp
167,Game4market_net
168,weplaydota2tv_2
169,SatanGoesHard
170,immunepwnz
171,Amuseer
172,top2europe
173,Xipctter
174,Lil_HaRDy
175,abyyx
176,vladyani4
177,w1tch_house